index,시·도,시·군,기업명,업종,생산품,매출액,기업규모,외투기업,회계기준,출처URL,홈페이지URL,비고
27,경상북도,구미시,클라리오스델코,축전지 제조업,자동차·산업용 배터리,"7,982억 1,611만원",중견기업,예,2025.12 개별(NICE평가정보),https://search.naver.com/search.naver?query=%ED%81%B4%EB%9D%BC%EB%A6%AC%EC%98%A4%EC%8A%A4%EB%8D%B8%EC%BD%94%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4 | https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/M0N6RVJQTGRLdUFvcUVPN043Z1hLQT09/company_nm/%28%EC%9C%A0%29%ED%81%B4%EB%9D%BC%EB%A6%AC%EC%98%A4%EC%8A%A4%EB%8D%B8%EC%BD%94,https://www.delkor.com/kr,축전지 제조 기업
28,경상북도,구미시,주광정밀,정밀기계 가공업,흑연 전극·정밀 금형 부품,"875억 4,553만원",중견기업,아니오,2025.12.GAAP 연결,https://search.naver.com/search.naver?query=%EC%A3%BC%EA%B4%91%EC%A0%95%EB%B0%80%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.jukwang.co.kr/,정밀기계 가공 기업
29,경상북도,구미시,케이브이머티리얼즈,전자재료 제조업,OLED 평판유리·세라믹 소재,"1,926억 7,439만원",중견기업,예,2025.12 개별(NICE평가정보),https://search.naver.com/search.naver?query=%EC%BC%80%EC%9D%B4%EB%B8%8C%EC%9D%B4%EB%A8%B8%ED%8B%B0%EB%A6%AC%EC%96%BC%EC%A6%88%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4 | https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/SW5pUnhOMTZhSlE0SWlTZEx6UEt2QT09/company_nm/%EC%BC%80%EC%9D%B4%EB%B8%8C%EC%9D%B4%EB%A8%B8%ED%8B%B0%EB%A6%AC%EC%96%BC%EC%A6%88%28%EC%A3%BC%29,https://www.kvmaterials.com/,전자재료 제조 기업
30,경상북도,구미시,팜한농,농업용 화학제품 제조업,작물보호제·제초제·살충제,"7,747억 9,875만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%8C%9C%ED%95%9C%EB%86%8D%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.farmhannong.com/,LG 계열사
31,경상북도,구미시,태림포장,종이제품 제조업,골판지 원단·상자,"7,538억 9,634만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%83%9C%EB%A6%BC%ED%8F%AC%EC%9E%A5%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.tailim.com/,종이제품 제조 기업
32,경상북도,구미시,케이엠,소모성 자재·위생용품 제조업,클린룸 장갑·방진복,"1,354억 1,435만원",중소기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%BC%80%EC%9D%B4%EC%97%A0%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://kmbiz.com/,소모성 자재·위생용품 제조 기업
33,경상북도,구미시,에이치티로보틱스,자동차·전자부품 제조업,배터리 앤드플레이트·거치대,"858억 2,703만원",중소기업,아니오,2025.12.IFRS 개별,https://search.naver.com/search.naver?query=%EC%84%B8%EC%95%84%EB%A9%94%EC%B9%B4%EB%8B%89%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.seamechanics.com/,"구 세아메카닉스. 2026년 상호변경 반영, 구미 생산거점 유지"
34,경상북도,구미시,계림요업,요업·위생도기 제조업,양변기·세면기,"931억 8,666만원",중견기업,아니오,2025.12.GAAP 연결,https://search.naver.com/search.naver?query=%EA%B3%84%EB%A6%BC%EC%9A%94%EC%97%85%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.kelim.net/,요업·위생도기 제조 기업
35,경상북도,구미시,태광산업,석유화학·섬유 제조업,아크릴·나일론·방적사,"1조 8,274억 3,956만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%83%9C%EA%B4%91%EC%82%B0%EC%97%85%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.taekwang.co.kr/,태광 계열사
36,경상북도,구미시,KH바텍,전자부품 제조업,폴더블폰 힌지·캐스팅 부품,"4,249억 420만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=KH%EB%B0%94%ED%85%8D%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.khvatec.com/,전자부품 제조 기업
37,경상북도,구미시,농심,식료품 제조업,라면류,"3조 5,143억 1,550만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EB%86%8D%EC%8B%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.nongshim.com/,농심 계열사
38,경상북도,구미시,남선알미늄,금속 압출·자동차부품 제조업,알루미늄 건축재·자동차 범퍼,"2,589억 2,190만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EB%82%A8%EC%84%A0%EC%95%8C%EB%AF%B8%EB%8A%84%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.namsun.co.kr/,SM 계열사
39,경상북도,구미시,필맥스,산업용 필름 제조업,OPP·PET 필름,"910억 4,084만원",중견기업,아니오,2025.12.GAAP 연결,https://search.naver.com/search.naver?query=%ED%95%84%EB%A7%A5%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.filmax.co.kr/,산업용 필름 제조 기업
40,경상북도,구미시,SM벡셀,전지·자동차부품 제조업,건전지·리튬전지·전장부품,"1,502억 7천만원",중소기업,아니오,2025.12 개별(NICE평가정보),https://search.naver.com/search.naver?query=SM%EB%B2%A1%EC%85%80%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4 | https://www.jobkorea.co.kr/company/46446425,https://smbexel.com/,SM 계열사
41,경상북도,구미시,삼성메디슨,의료용 기기 제조업,초음파 진단기·프로브,"6,650억 8,856만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%82%BC%EC%84%B1%EB%A9%94%EB%94%94%EC%8A%A8%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.samsungmedison.com/kr/,삼성 계열사
42,경상북도,구미시,KEC,반도체 제조업,트랜지스터·전력반도체,"2,296억 1,663만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=KEC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.keccorp.com/,반도체 제조 기업
43,경상북도,구미시,아바코,디스플레이·반도체 장비 제조업,스퍼터·물류자동화 설비,"3,928억 9,630만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%95%84%EB%B0%94%EC%BD%94%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.avaco.co.kr/,디스플레이·반도체 장비 제조 기업
44,경상북도,구미시,월덱스,반도체부품 제조업,실리콘·쿼츠 식각부품,"2,917억 6,497만원",중소기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%9B%94%EB%8D%B1%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.worldexint.com/,반도체부품 제조 기업
45,경상북도,구미시,쿠어스텍코리아,파인 세라믹 제조업,반도체 장비용 세라믹 부품,"1,123억 4,193만원",중견기업,예,2025.12.GAAP 개별,https://search.naver.com/search.naver?query=%EC%BF%A0%EC%96%B4%EC%8A%A4%ED%85%8D%EC%BD%94%EB%A6%AC%EC%95%84%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.coorstek.com/kr/ko/,파인 세라믹 제조 기업
46,경상북도,구미시,제트에프렘페더샤시,자동차부품 제조업,조향·현가장치 부품,955억 408만원,중견기업,예,2025.12.GAAP 개별,https://search.naver.com/search.naver?query=%EC%A0%9C%ED%8A%B8%EC%97%90%ED%94%84%EB%A0%98%ED%8E%98%EB%8D%94%EC%83%A4%EC%8B%9C%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.zf.com/,자동차부품 제조 기업
47,경상북도,구미시,LB세미콘,반도체 후공정 서비스업,범핑·테스트,"4,797억 8,193만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=LB%EC%84%B8%EB%AF%B8%EC%BD%98%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.lbsemicon.com/,LB 계열사
48,경상북도,구미시,피엔티,디스플레이·배터리 장비 제조업,코터·롤투롤 장비,"7,448억 8,943만원",중소기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%94%BC%EC%97%94%ED%8B%B0%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.epnt.co.kr/,디스플레이·배터리 장비 제조 기업
49,경상북도,구미시,아주스틸,철강 가공업,가전·건축용 컬러강판,1조 856억 312만원,중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%95%84%EC%A3%BC%EC%8A%A4%ED%8B%B8%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.ajusteel.com/,동국제강그룹 계열사
50,경상북도,구미시,PI첨단소재,플라스틱 소재 제조업,폴리이미드 필름,"2,634억 2,109만원",중견기업,아니오,2025.12.IFRS 개별,https://search.naver.com/search.naver?query=PI%EC%B2%A8%EB%8B%A8%EC%86%8C%EC%9E%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.pimaterials.com/,아케마 계열사
51,경상북도,구미시,삼양컴텍,방위산업,복합장갑·방탄제품,"1,546억 727만원",중견기업,아니오,2025.12.IFRS 개별,https://search.naver.com/search.naver?query=%EC%82%BC%EC%96%91%EC%BB%B4%ED%85%8D%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.samyangct.com/,방위산 기업
52,경상북도,구미시,에이지씨화인테크노한국,유리제품 제조업,디스플레이용 특수유리,"1,504억 7,720만원",중견기업,예,2025 개별,https://search.naver.com/search.naver?query=%EC%97%90%EC%9D%B4%EC%A7%80%EC%94%A8%ED%99%94%EC%9D%B8%ED%85%8C%ED%81%AC%EB%85%B8%ED%95%9C%EA%B5%AD%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.agc.com/,AGC 계열사
53,경상북도,구미시,톱텍,공장자동화·전지장비 제조업,스마트팩토리·자동화 장비,"1,710억 153만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%86%B1%ED%85%8D%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.toptec.co.kr/,공장자동화·전지장비 제조 기업
54,경상북도,구미시,이큐셀,반도체·이차전지 장비 제조업,웨이퍼 이송·자동화 장비,"886억 2,418만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%9D%B4%ED%81%90%EC%85%80%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.eqcell.co.kr/,반도체·이차전지 장비 제조 기업
55,경상북도,구미시,씨엠티엑스,반도체 부품 제조업,실리콘 링·세라믹 부품,"1,605억 1,340만원",중소기업,아니오,2025 개별,https://search.naver.com/search.naver?query=%EC%94%A8%EC%97%A0%ED%8B%B0%EC%97%91%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.cmtx.co.kr/,반도체 부품 제조 기업
56,경상북도,구미시,삼화양행,PCB·금형 제조업,PCB용 정밀 금형,"1,569억 9,602만원",중견기업,아니오,2025.12.GAAP 연결,https://search.naver.com/search.naver?query=%EC%82%BC%ED%99%94%EC%96%91%ED%96%89%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.samhwa-pcb.com/,PCB·금형 제조 기업
57,경상북도,구미시,새로닉스,전자부품 제조업,디스플레이·전장·가전부품,"1,649억 4,782만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%83%88%EB%A1%9C%EB%8B%89%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.seronics.co.kr/,전자부품 제조 기업
58,경상북도,구미시,자화전자,전자부품 제조업,OIS 액추에이터·AF 부품,"8,489억 1,978만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%9E%90%ED%99%94%EC%A0%84%EC%9E%90%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.jahwa.co.kr/,전자부품 제조 기업
59,경상북도,구미시,GH신소재,부직포·부품 제조업,자동차 부직포·필터 원단,"876억 2,445만원",중소기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=GH%EC%8B%A0%EC%86%8C%EC%9E%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.ghadvanced.com/,NVH 계열사
60,경상북도,구미시,NVH플로어시스템,자동차부품 제조업,플로어 카펫·차음재,"954억 7,000만원",중견기업,아니오,2025.12 개별,https://search.naver.com/search.naver?query=NVH%ED%94%8C%EB%A1%9C%EC%96%B4%EC%8B%9C%EC%8A%A4%ED%85%9C%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.nvhkorea.co.kr/,NVH 계열사
61,경상북도,구미시,티에이케이텍스타일,섬유 제조업,고기능성 직물,"1,198억 3,681만원",중견기업,예,2026.03.IFRS 개별,https://search.naver.com/search.naver?query=%ED%8B%B0%EC%97%90%EC%9D%B4%EC%BC%80%EC%9D%B4%ED%85%8D%EC%8A%A4%ED%83%80%EC%9D%BC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.taktextile.com/,도레이 계열사
62,경상북도,구미시,쿠퍼스탠다드오토모티브앤인더스트리얼,자동차부품 제조업,웨더스트립·호스 시스템,"1,235억 5,250만원",중견기업,예,2025 개별,https://search.naver.com/search.naver?query=%EC%BF%A0%ED%8D%BC%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C%EC%98%A4%ED%86%A0%EB%AA%A8%ED%8B%B0%EB%B8%8C%EC%95%A4%EC%9D%B8%EB%8D%94%EC%8A%A4%ED%8A%B8%EB%A6%AC%EC%96%BC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.cooperstandard.com/,쿠퍼스탠다드 계열사
63,경상북도,구미시,평화오일씰공업,고무 부품 제조업,오일씰·O-링·가스켓,"3,194억 1,591만원",중견기업,아니오,2025.12.IFRS 개별,https://search.naver.com/search.naver?query=%ED%8F%89%ED%99%94%EC%98%A4%EC%9D%BC%EC%94%B0%EA%B3%B5%EC%97%85%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.ph.co.kr/,평화홀딩스 계열사
64,경상북도,구미시,신성ST,전기·전자부품 제조업,배터리 부스바·모듈 케이스,"513억 2,408만원",중소기업,아니오,2025 개별,https://search.naver.com/search.naver?query=%EC%8B%A0%EC%84%B1ST%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.shinsungst.co.kr/,전기·전자부품 제조 기업
65,경상북도,구미시,탑런토탈솔루션,전자·자동차부품 제조업,차량용 디스플레이·광학부품,"1,506억 8,923만원",중소기업,아니오,2025 개별,https://search.naver.com/search.naver?query=%ED%83%91%EB%9F%B0%ED%86%A0%ED%83%88%EC%86%94%EB%A3%A8%EC%85%98%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.toprunto.com/,탑런그룹 계열사
66,경상북도,구미시,탑엔지니어링,디스플레이·반도체 장비 제조업,디스펜서·글라스 절단·테스트 장비,"7,984억 9,830만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%83%91%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.topengnet.com/,탑엔지니어링 계열사
67,경상북도,구미시,오리엔트정공,자동차부품 제조업,변속기·엔진 부품,"1,571억 3,579만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%98%A4%EB%A6%AC%EC%97%94%ED%8A%B8%EC%A0%95%EA%B3%B5%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.orientpi.com/,자동차부품 제조 기업
68,경상북도,구미시,덕우전자,전자부품 제조업,카메라 모듈 정밀부품,"1,769억 4,659만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EB%8D%95%EC%9A%B0%EC%A0%84%EC%9E%90%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.derkwoo.com/,전자부품 제조 기업
